,appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,warp_execution_efficiency,sm_activity,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput.1,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,executed_ipc,power/W
4,BlackScholes,1600,4000,input00,BlackScholesGPU,1.9886,(224000 1 1) (128 1 1),896000.0,0.88749,1.0,0.9979,2.639414,1.0,15232000,161.35,21504000,8.0,106.91,7168000,4.0,0.5,10752190,159.68,7165435,107.78,10752415,161.61,7168488,107.74,0,0.0,0.0,0,0.0,0.0,162.04,10752000,108.03,107.64,0.5,161.46,10752000,0,0,2907097257.0,974848000,258048000,688128000.0,2505689257,0,146048000,163.0,1.774491,201.85300000000004
5,BlackScholes,1600,4500,input00,BlackScholesGPU,1.7418,(224000 1 1) (128 1 1),896000.0,0.8844620000000001,1.0,0.9977,3.203058,1.0,15232000,184.01,21504000,8.0,122.37,7168000,4.0,0.5,10752146,183.49,7165230,122.83,10752408,183.74,7168157,122.49,0,0.0,0.0,0,0.0,0.0,183.68,10752000,122.45,122.79,0.5,184.19,10752000,0,0,2907097257.0,974848000,258048000,688128000.0,2505689257,0,146048000,163.0,2.023576,222.90587999999997
6,BlackScholes,1600,5000,input00,BlackScholesGPU,1.5894,(224000 1 1) (128 1 1),896000.0,0.8802040000000001,1.0,0.9976,3.22775,1.0,15232000,201.31,21504000,8.0,134.2,7168000,4.0,0.5,10752204,201.34,7166353,134.17,10752438,201.4,7168297,134.26,0,0.0,0.0,0,0.0,0.0,201.19,10752000,134.13,134.82,0.5,202.23,10752000,0,0,2907097257.0,974848000,258048000,688128000.0,2505689257,0,146048000,163.0,2.224926,238.58835
7,BlackScholes,1600,5500,input00,BlackScholesGPU,1.4294,(224000 1 1) (128 1 1),896000.0,0.876181,1.0,0.9974,4.030893,1.0,15232000,224.39,21504000,8.0,149.26,7168000,4.0,0.5,10752107,223.92,7165952,149.4,10752400,224.5,7168013,149.66,0,0.0,0.0,0,0.0,0.0,224.13,10752000,149.42,149.41,0.5,224.11,10752000,0,0,2907097257.0,974848000,258048000,688128000.0,2505689257,0,146048000,163.0,2.2725009999999997,257.28381
0,BlackScholes,1700,4000,input00,BlackScholesGPU,1.9868,(224000 1 1) (128 1 1),896000.0,0.889716,1.0,0.9977,2.588,1.0,15232000,160.26,21504000,8.0,106.55,7168000,4.0,0.5,10752113,160.6,7165132,107.39,10752396,161.43,7168013,107.62,0,0.0,0.0,0,0.0,0.0,161.4,10752000,107.6,107.73,0.5,161.6,10752000,0,0,2907097257.0,974848000,258048000,688128000.0,2505689257,0,146048000,163.0,1.78771,203.45396000000002
1,BlackScholes,1700,4500,input00,BlackScholesGPU,1.7409,(224000 1 1) (128 1 1),896000.0,0.886568,1.0,0.9977,2.736497,1.0,15232000,183.28,21504000,8.0,122.28,7168000,4.0,0.5,10752110,183.87,7165719,122.23,10752376,183.14,7168024,122.08,0,0.0,0.0,0,0.0,0.0,183.67,10752000,122.45,122.77,0.5,184.16,10752000,0,0,2907097257.0,974848000,258048000,688128000.0,2505689257,0,146048000,163.0,1.7397479999999999,222.12608000000003
2,BlackScholes,1700,5000,input00,BlackScholesGPU,1.5892,(224000 1 1) (128 1 1),896000.0,0.882869,1.0,0.9976,3.0130790000000003,1.0,15232000,200.63,21504000,8.0,134.13,7168000,4.0,0.5,10752135,200.47,7165160,133.98,10752400,201.55,7168013,134.36,0,0.0,0.0,0,0.0,0.0,201.19,10752000,134.13,134.0,0.5,201.0,10752000,0,0,2907097257.0,974848000,258048000,688128000.0,2505689257,0,146048000,163.0,1.917268,241.35928
3,BlackScholes,1700,5500,input00,BlackScholesGPU,1.4271,(224000 1 1) (128 1 1),896000.0,0.87874,1.0,0.9974,3.786807,1.0,15232000,224.18,21504000,8.0,149.69,7168000,4.0,0.5,10752204,224.03,7165182,149.03,10752376,225.1,7168025,150.06,0,0.0,0.0,0,0.0,0.0,223.82,10752000,149.21,149.2,0.5,223.81,10752000,0,0,2907097257.0,974848000,258048000,688128000.0,2505689257,0,146048000,163.0,2.136805,259.44632
8,BlackScholes,1800,4000,input00,BlackScholesGPU,1.9859,(224000 1 1) (128 1 1),896000.0,0.890919,1.0,0.998,2.7498709999999997,1.0,15232000,160.04,21504000,8.0,106.75,7168000,4.0,0.5,10752114,160.36,7165141,107.42,10752432,161.47,7168017,107.64,0,0.0,0.0,0,0.0,0.0,161.18,10752000,107.45,107.45,0.5,161.17,10752000,0,0,2907097257.0,974848000,258048000,688128000.0,2505689257,0,146048000,163.0,1.444715,205.15503000000004
9,BlackScholes,1800,4500,input00,BlackScholesGPU,1.7422,(224000 1 1) (128 1 1),896000.0,0.888335,1.0,0.9978,3.129095,1.0,15232000,183.56,21504000,8.0,122.03,7168000,4.0,0.5,10752133,182.91,7164923,122.95,10752462,184.0,7168021,122.66,0,0.0,0.0,0,0.0,0.0,184.1,10752000,122.74,122.4,0.5,183.6,10752000,0,0,2907097257.0,974848000,258048000,688128000.0,2505689257,0,146048000,163.0,1.6399099999999998,224.68305
10,BlackScholes,1800,5000,input00,BlackScholesGPU,1.5882,(224000 1 1) (128 1 1),896000.0,0.8851700000000001,1.0,0.9977,3.0393220000000003,1.0,15232000,201.13,21504000,8.0,134.25,7168000,4.0,0.5,10752117,201.06,7164342,134.79,10752438,201.8,7168288,134.53,0,0.0,0.0,0,0.0,0.0,201.64,10752000,134.43,134.73,0.5,202.1,10752000,0,0,2907097257.0,974848000,258048000,688128000.0,2505689257,0,146048000,163.0,1.8055400000000001,239.88467999999997
11,BlackScholes,1800,5500,input00,BlackScholesGPU,1.4279,(224000 1 1) (128 1 1),896000.0,0.881376,1.0,0.9974,3.8010650000000004,1.0,15232000,223.67,21504000,8.0,149.54,7168000,4.0,0.5,10752172,222.58,7164677,148.49,10752442,224.33,7168294,149.55,0,0.0,0.0,0,0.0,0.0,223.33,10752000,148.88,148.9,0.5,223.35,10752000,0,0,2907097257.0,974848000,258048000,688128000.0,2505689257,0,146048000,163.0,2.018602,259.08967
12,BlackScholes,1900,4000,input00,BlackScholesGPU,1.9942,(224000 1 1) (128 1 1),896000.0,0.892069,1.0,0.998,2.49085,1.0,15232000,160.49,21504000,8.0,106.28,7168000,4.0,0.5,10752130,159.37,7165250,107.23,10752469,161.18,7168292,107.45,0,0.0,0.0,0,0.0,0.0,161.35,10752000,107.57,107.57,0.5,161.36,10752000,0,0,2907097257.0,974848000,258048000,688128000.0,2505689257,0,146048000,163.0,1.374939,207.42645000000005
13,BlackScholes,1900,4500,input00,BlackScholesGPU,1.7511,(224000 1 1) (128 1 1),896000.0,0.888966,1.0,0.9979,2.742624,1.0,15232000,182.77,21504000,8.0,121.25,7168000,4.0,0.5,10752221,182.35,7165886,121.97,10752490,183.42,7168570,122.28,0,0.0,0.0,0,0.0,0.0,183.14,10752000,122.09,122.49,0.5,183.74,10752000,0,0,2907097257.0,974848000,258048000,688128000.0,2505689257,0,146048000,163.0,1.568909,225.65931
14,BlackScholes,1900,5000,input00,BlackScholesGPU,1.5923,(224000 1 1) (128 1 1),896000.0,0.8863610000000001,1.0,0.9977,3.2851879999999998,1.0,15232000,200.88,21504000,8.0,133.53,7168000,4.0,0.5,10752155,200.99,7165308,134.79,10752430,202.35,7168292,134.9,0,0.0,0.0,0,0.0,0.0,201.57,10752000,134.38,134.74,0.5,202.1,10752000,0,0,2907097257.0,974848000,258048000,688128000.0,2505689257,0,146048000,163.0,1.730016,242.06085
15,BlackScholes,1900,5500,input00,BlackScholesGPU,1.4281,(224000 1 1) (128 1 1),896000.0,0.883127,1.0,0.9975,3.260576,1.0,15232000,224.2,21504000,8.0,149.39,7168000,4.0,0.5,10752149,224.12,7165147,149.34,10752459,223.64,7168013,149.09,0,0.0,0.0,0,0.0,0.0,224.05,10752000,149.37,149.36,0.5,224.04,10752000,0,0,2907097257.0,974848000,258048000,688128000.0,2505689257,0,146048000,163.0,1.9272340000000001,260.90380000000005
16,BlackScholes,2000,4000,input00,BlackScholesGPU,1.9955,(224000 1 1) (128 1 1),896000.0,0.893541,1.0,0.9981,2.1972169999999998,1.0,15232000,160.28,21504000,8.0,106.57,7168000,4.0,0.5,10752123,160.11,7165158,107.46,10752415,161.19,7168025,107.46,0,0.0,0.0,0,0.0,0.0,162.32,10752000,108.21,108.08,0.5,162.12,10752000,0,0,2907097257.0,974848000,258048000,688128000.0,2505689257,0,146048000,163.0,1.304484,207.95349
17,BlackScholes,2000,4500,input00,BlackScholesGPU,1.7451,(224000 1 1) (128 1 1),896000.0,0.891207,1.0,0.9979,2.658372,1.0,15232000,183.42,21504000,8.0,121.7,7168000,4.0,0.5,10752134,182.32,7165108,122.24,10752379,183.69,7168025,122.45,0,0.0,0.0,0,0.0,0.0,183.49,10752000,122.32,122.09,0.5,183.14,10752000,0,0,2907097257.0,974848000,258048000,688128000.0,2505689257,0,146048000,163.0,1.492384,228.78721999999996
18,BlackScholes,2000,5000,input00,BlackScholesGPU,1.5911,(224000 1 1) (128 1 1),896000.0,0.8877649999999999,1.0,0.9975,3.5454410000000003,1.0,15232000,199.67,21504000,8.0,133.71,7168000,4.0,0.5,10770403,200.94,7162275,134.28,10784962,202.34,7168013,134.53,0,0.0,0.0,0,0.0,0.0,201.18,10752000,134.12,133.93,0.5,200.89,10752000,0,0,2907097257.0,974848000,258048000,688128000.0,2505689257,0,146048000,163.0,1.629867,244.20846
19,BlackScholes,2000,5500,input00,BlackScholesGPU,1.4328,(224000 1 1) (128 1 1),896000.0,0.8846620000000001,1.0,0.9975,4.0252930000000005,1.0,15232000,223.49,21504000,8.0,149.47,7168000,4.0,0.5,10758777,222.23,7163413,148.8,10761192,224.38,7168013,149.44,0,0.0,0.0,0,0.0,0.0,223.64,10752000,149.09,148.89,0.5,223.33,10752000,0,0,2907097257.0,974848000,258048000,688128000.0,2505689257,0,146048000,163.0,1.8177919999999999,264.53487000000007
24,SobolQRNG,1600,4000,input00,sobolGPU_kernel,2.1497,(1 1000 1) (64 1 1),2000.0,0.966139,1.0,0.8784000000000001,1.126949,1.0,4119000,0.055313,8000,8.0,227.43,16384000,4.0,0.5,3740,0.050545,16377135,225.83,4385,0.062943,16384033,222.39,4108000,225.73,1.0,1000,0.055313,1.0,0.056267000000000005,4000,229.51,229.03,0.5,0.056267000000000005,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86183000,43092.0,0.9951409999999999,162.51032
25,SobolQRNG,1600,4500,input00,sobolGPU_kernel,1.945,(1 1000 1) (64 1 1),2000.0,0.967297,1.0,0.8615999999999999,1.312686,1.0,4119000,0.061035,8000,8.0,248.68,16384000,4.0,0.5,4022,0.061035,16376985,251.11,4379,0.069618,16384782,247.8,4108000,246.13,1.0,1000,0.061035,1.0,0.061989,4000,251.01,251.24,0.5,0.061989,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86183000,43092.0,1.13372,171.81362
26,SobolQRNG,1600,5000,input00,sobolGPU_kernel,1.804,(1 1000 1) (64 1 1),2000.0,0.9596120000000001,1.0,0.868,1.5924969999999998,1.0,4119000,0.065804,8000,8.0,268.75,16384000,4.0,0.5,3930,0.06484999999999999,16378439,267.99,4415,0.07724800000000001,16384792,272.16,4108000,269.54,1.0,1000,0.06675700000000001,1.0,0.065804,4000,267.79,271.6,0.5,0.06675700000000001,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86183000,43092.0,1.24787,180.88137000000003
27,SobolQRNG,1600,5500,input00,sobolGPU_kernel,1.6012,(1 1000 1) (64 1 1),2000.0,0.957932,1.0,0.8674,1.648369,1.0,4119000,0.07343300000000001,8000,8.0,303.22,16384000,4.0,0.5,3882,0.07438700000000001,16376926,311.08,4451,0.083923,16384196,301.77,4108000,304.4,1.0,1000,0.07343300000000001,1.0,0.07343300000000001,4000,299.16,300.67,0.5,0.07438700000000001,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86183000,43092.0,1.381543,193.60280000000003
20,SobolQRNG,1700,4000,input00,sobolGPU_kernel,2.1419,(1 1000 1) (64 1 1),2000.0,0.966052,1.0,0.8861,1.063441,1.0,4119000,0.056267000000000005,8000,8.0,228.11,16384000,4.0,0.5,3832,0.052452,16378336,222.23,4428,0.065804,16384013,223.93,4108000,228.07,1.0,1000,0.056267000000000005,1.0,0.05722000000000001,4000,232.67,230.41,0.5,0.056267000000000005,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86183000,43092.0,0.9430729999999999,163.84108
21,SobolQRNG,1700,4500,input00,sobolGPU_kernel,1.9143,(1 1000 1) (64 1 1),2000.0,0.970409,1.0,0.8365,1.371182,1.0,4119000,0.061989,8000,8.0,254.18,16384000,4.0,0.5,3731,0.058174,16378330,255.93,4332,0.068665,16384013,255.37,4108000,254.05,1.0,1000,0.061989,1.0,0.061035,4000,247.33,247.66,0.5,0.061035,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86183000,43092.0,1.075996,174.99948000000003
22,SobolQRNG,1700,5000,input00,sobolGPU_kernel,1.7921,(1 1000 1) (64 1 1),2000.0,0.9709549999999999,1.0,0.8411,1.438025,1.0,4119000,0.065804,8000,8.0,272.04,16384000,4.0,0.5,3760,0.062943,16378366,271.19,4345,0.07724800000000001,16384013,272.23,4108000,272.85,1.0,1000,0.06675700000000001,1.0,0.06675700000000001,4000,269.55,269.95,0.5,0.06675700000000001,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86183000,43092.0,1.174326,183.86456
23,SobolQRNG,1700,5500,input00,sobolGPU_kernel,1.6191,(1 1000 1) (64 1 1),2000.0,0.9565020000000001,1.0,0.8697,1.816025,1.0,4119000,0.076294,8000,8.0,303.92,16384000,4.0,0.5,3791,0.07152599999999999,16378070,298.71,4430,0.08583099999999999,16384013,303.89,4108000,311.85,1.0,1000,0.076294,1.0,0.07343300000000001,4000,298.58,298.38,0.5,0.07343300000000001,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86183000,43092.0,1.299038,194.95733
28,SobolQRNG,1800,4000,input00,sobolGPU_kernel,2.1342,(1 1000 1) (64 1 1),2000.0,0.970532,1.0,0.8561,1.266218,1.0,4119000,0.054359000000000005,8000,8.0,228.85,16384000,4.0,0.5,3760,0.053405999999999995,16378295,230.2,4358,0.068665,16384024,231.54,4108000,232.77,1.0,1000,0.056267000000000005,1.0,0.05722000000000001,4000,232.71,232.61,0.5,0.05722000000000001,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86183000,43092.0,0.8891899999999999,165.84920000000002
29,SobolQRNG,1800,4500,input00,sobolGPU_kernel,1.8909,(1 1000 1) (64 1 1),2000.0,0.9689700000000001,1.0,0.836,1.4738,1.0,4119000,0.061035,8000,8.0,252.21,16384000,4.0,0.5,3898,0.061989,16378120,258.96,4355,0.07343300000000001,16384024,259.63,4108000,259.32,1.0,1000,0.06389600000000001,1.0,0.06389600000000001,4000,260.67,260.87,0.5,0.06389600000000001,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86183000,43092.0,1.007816,179.51057
30,SobolQRNG,1800,5000,input00,sobolGPU_kernel,1.7592,(1 1000 1) (64 1 1),2000.0,0.95954,1.0,0.8473,1.62053,1.0,4119000,0.06675700000000001,8000,8.0,270.86,16384000,4.0,0.5,3748,0.062943,16378311,276.57,4369,0.07438700000000001,16384024,271.77,4108000,269.91,1.0,1000,0.06771100000000001,1.0,0.068665,4000,277.07,276.31,0.5,0.06771100000000001,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86183000,43092.0,1.1078139999999999,188.25193000000002
31,SobolQRNG,1800,5500,input00,sobolGPU_kernel,1.6241,(1 1000 1) (64 1 1),2000.0,0.9553219999999999,1.0,0.8733,1.81578,1.0,4119000,0.07534,8000,8.0,303.95,16384000,4.0,0.5,3839,0.07152599999999999,16378310,300.12,4349,0.08678400000000001,16384013,301.84,4108000,299.13,1.0,1000,0.07343300000000001,1.0,0.07438700000000001,4000,301.0,301.98,0.5,0.07438700000000001,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86183000,43092.0,1.235075,196.80665
32,SobolQRNG,1900,4000,input00,sobolGPU_kernel,2.1362,(1 1000 1) (64 1 1),2000.0,0.9705600000000001,1.0,0.8776999999999999,0.939475,1.0,4119000,0.056267000000000005,8000,8.0,231.57,16384000,4.0,0.5,3958,0.055313,16378223,232.18,4313,0.06771100000000001,16384013,233.9,4108000,229.52,1.0,1000,0.056267000000000005,1.0,0.05722000000000001,4000,233.43,233.51,0.5,0.05722000000000001,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86183000,43092.0,1.0156319999999999,167.94045000000003
33,SobolQRNG,1900,4500,input00,sobolGPU_kernel,1.8811,(1 1000 1) (64 1 1),2000.0,0.969223,1.0,0.8323,1.4276790000000001,1.0,4119000,0.061035,8000,8.0,251.16,16384000,4.0,0.5,3776,0.059128,16378159,257.89,4318,0.072479,16384776,258.59,4108000,259.6,1.0,1000,0.06389600000000001,1.0,0.061035,4000,247.02,246.97,0.5,0.061035,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86183000,43092.0,0.9702440000000001,178.59088000000003
34,SobolQRNG,1900,5000,input00,sobolGPU_kernel,1.7418,(1 1000 1) (64 1 1),2000.0,0.9642209999999999,1.0,0.8778,1.2153040000000002,1.0,4119000,0.068665,8000,8.0,280.01,16384000,4.0,0.5,3798,0.06389600000000001,16378332,275.24,4382,0.076294,16384022,273.76,4108000,269.11,1.0,1000,0.06675700000000001,1.0,0.06771100000000001,4000,274.67,274.08,0.5,0.06771100000000001,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86183000,43092.0,1.063952,188.45053000000001
35,SobolQRNG,1900,5500,input00,sobolGPU_kernel,1.6151,(1 1000 1) (64 1 1),2000.0,0.960043,1.0,0.8604,1.605566,1.0,4119000,0.07438700000000001,8000,8.0,297.35,16384000,4.0,0.5,3833,0.07152599999999999,16378298,306.18,4393,0.083923,16385531,300.51,4108000,301.17,1.0,1000,0.07438700000000001,1.0,0.07438700000000001,4000,301.19,301.96,0.5,0.07438700000000001,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86183000,43092.0,1.1889809999999998,197.59236000000004
36,SobolQRNG,2000,4000,input00,sobolGPU_kernel,2.1326,(1 1000 1) (64 1 1),2000.0,0.973542,1.0,0.8765999999999999,0.8908370000000001,1.0,4119000,0.05722000000000001,8000,8.0,229.07,16384000,4.0,0.5,3802,0.052452,16377537,227.34,4367,0.06389600000000001,16384024,227.83,4108000,229.09,1.0,1000,0.056267000000000005,1.0,0.058174,4000,234.57,232.31,0.5,0.05722000000000001,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86183000,43092.0,0.8143729999999999,170.41563
37,SobolQRNG,2000,4500,input00,sobolGPU_kernel,1.8834,(1 1000 1) (64 1 1),2000.0,0.969116,1.0,0.8534,1.337621,1.0,4119000,0.061035,8000,8.0,252.18,16384000,4.0,0.5,3739,0.058174,16378237,257.35,4397,0.072479,16384013,259.69,4108000,258.14,1.0,1000,0.06484999999999999,1.0,0.061989,4000,252.01,255.88,0.5,0.062943,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86183000,43092.0,0.9160299999999999,182.54426
38,SobolQRNG,2000,5000,input00,sobolGPU_kernel,1.7204,(1 1000 1) (64 1 1),2000.0,0.97101,1.0,0.8492000000000001,1.353169,1.0,4119000,0.06771100000000001,8000,8.0,271.45,16384000,4.0,0.5,3734,0.062943,16378146,272.3,4358,0.07915499999999999,16384024,276.69,4108000,279.31,1.0,1000,0.068665,1.0,0.06675700000000001,4000,269.79,270.72,0.5,0.06675700000000001,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86183000,43092.0,1.00171,193.21199000000004
39,SobolQRNG,2000,5500,input00,sobolGPU_kernel,1.5986,(1 1000 1) (64 1 1),2000.0,0.9650799999999999,1.0,0.8447,1.553688,1.0,4119000,0.07343300000000001,8000,8.0,297.39,16384000,4.0,0.5,22785,0.42248,16373740,297.11,68850,0.61703,16384029,297.37,4108000,297.12,1.0,1000,0.07343300000000001,1.0,0.07438700000000001,4000,301.83,306.77,0.5,0.07534,4000,0,0,131072000.0,0,0,1838208000.0,131072000,0,86183000,43092.0,1.099682,202.04149000000004
44,backpropBackward,1600,4000,input00,bpnn_adjust_weights_cuda,1.1432,(1 32768 1) (16 16 1),262144.0,0.968232,1.0,0.9964,0.309904,1.0,262145,145.59,14811161,8.07142,61.961999999999996,2621446,4.999992,0.5841,2293887,54.044,2227018,52.482,6160719,145.69,2621459,61.992,0,0.0,0.0,0,0.0,0.0,145.68,6160399,61.99100000000001,61.961999999999996,0.5563,173.49,7340042,75497584,16777248,0.0,0,0,184549488.0,0,58720336,15204379,58.000103,0.291218,141.99493
45,backpropBackward,1600,4500,input00,bpnn_adjust_weights_cuda,1.1534,(1 32768 1) (16 16 1),262144.0,0.968095,1.0,0.9959,0.310183,1.0,262145,145.63,14811161,8.07142,61.967,2621446,4.999992,0.5841,2293900,54.236999999999995,2226961,52.302,6160718,145.66,2621929,61.992,0,0.0,0.0,0,0.0,0.0,145.62,6160399,61.966,61.966,0.5563,173.51,7340042,75497584,16777248,0.0,0,0,184549488.0,0,58720336,15204379,58.000103,0.290785,146.38126999999997
46,backpropBackward,1600,5000,input00,bpnn_adjust_weights_cuda,1.1529,(1 32768 1) (16 16 1),262144.0,0.968092,1.0,0.9964,0.310143,1.0,262145,145.66,14811161,8.07142,61.985,2621446,4.999992,0.5841,2293889,54.254,2226663,52.66,6160727,145.74,2621746,62.02,0,0.0,0.0,0,0.0,0.0,145.66,6160399,61.981,61.971000000000004,0.5563,173.52,7340042,75497584,16777248,0.0,0,0,184549488.0,0,58720336,15204379,58.000103,0.290802,147.83648
47,backpropBackward,1600,5500,input00,bpnn_adjust_weights_cuda,1.1527,(1 32768 1) (16 16 1),262144.0,0.967939,1.0,0.9963,0.310336,1.0,262145,145.71,14811161,8.07142,62.007,2621446,4.999992,0.5841,2293866,53.9,2228251,52.541000000000004,6160693,145.7,2621459,61.995,0,0.0,0.0,0,0.0,0.0,145.71,6160399,62.003,61.99,0.5563,173.57,7340042,75497584,16777248,0.0,0,0,184549488.0,0,58720336,15204379,58.000103,0.290877,153.68289
40,backpropBackward,1700,4000,input00,bpnn_adjust_weights_cuda,1.0918,(1 32768 1) (16 16 1),262144.0,0.968281,1.0,0.9965,0.31084,1.0,262145,145.62,14811161,8.07142,61.946999999999996,2621446,4.999992,0.5841,2293857,54.038999999999994,2226708,52.305,6160669,145.74,2621467,62.011,0,0.0,0.0,0,0.0,0.0,145.71,6160399,62.001999999999995,61.981,0.5563,173.55,7340042,75497584,16777248,0.0,0,0,184549488.0,0,58720336,15204379,58.000103,0.289523,146.57952
41,backpropBackward,1700,4500,input00,bpnn_adjust_weights_cuda,1.0828,(1 32768 1) (16 16 1),262144.0,0.9681549999999999,1.0,0.9964,0.311069,1.0,262145,145.7,14811161,8.07142,62.004,2621446,4.999992,0.5841,2293869,54.086000000000006,2227216,52.50899999999999,6160744,145.72,2621459,62.004,0,0.0,0.0,0,0.0,0.0,145.67,6160399,61.988,61.998000000000005,0.5563,173.6,7340042,75497584,16777248,0.0,0,0,184549488.0,0,58720336,15204379,58.000103,0.289558,151.29754
42,backpropBackward,1700,5000,input00,bpnn_adjust_weights_cuda,1.0856,(1 32768 1) (16 16 1),262144.0,0.9680559999999999,1.0,0.9964,0.311083,1.0,262145,145.68,14811161,8.07142,62.012,2621446,4.999992,0.5841,2293863,54.091,2226761,51.82,6160653,145.72,2621463,62.007,0,0.0,0.0,0,0.0,0.0,145.71,6160399,62.001999999999995,62.013000000000005,0.5563,173.64,7340042,75497584,16777248,0.0,0,0,184549488.0,0,58720336,15204379,58.000103,0.289586,154.43407
43,backpropBackward,1700,5500,input00,bpnn_adjust_weights_cuda,1.0916,(1 32768 1) (16 16 1),262144.0,0.9680059999999999,1.0,0.9965,0.311272,1.0,262145,145.79,14811161,8.07142,62.033,2621446,4.999992,0.5841,2293881,53.934,2226731,52.696000000000005,6160643,145.78,2621471,62.028,0,0.0,0.0,0,0.0,0.0,145.78,6160399,62.034,62.027,0.5563,173.68,7340042,75497584,16777248,0.0,0,0,184549488.0,0,58720336,15204379,58.000103,0.289168,158.01413
48,backpropBackward,1800,4000,input00,bpnn_adjust_weights_cuda,1.0208,(1 32768 1) (16 16 1),262144.0,0.9683209999999999,1.0,0.9964,0.311189,1.0,262145,146.12,14811161,8.07142,62.187,2621446,4.999992,0.5841,2293832,54.251999999999995,2226714,52.852,6160652,146.18,2621463,62.199,0,0.0,0.0,0,0.0,0.0,146.21,6160399,62.217,62.2,0.5563,174.16,7340042,75497584,16777248,0.0,0,0,184549488.0,0,58720336,15204379,58.000103,0.290184,151.07452999999995
49,backpropBackward,1800,4500,input00,bpnn_adjust_weights_cuda,1.0211,(1 32768 1) (16 16 1),262144.0,0.9681799999999999,1.0,0.9964,0.311238,1.0,262145,146.16,14811161,8.07142,62.172,2621446,4.999992,0.5841,2293934,54.068000000000005,2226728,52.818000000000005,6160659,146.09,2621459,62.163999999999994,0,0.0,0.0,0,0.0,0.0,146.17,6160399,62.2,62.216,0.5563,174.21,7340042,75497584,16777248,0.0,0,0,184549488.0,0,58720336,15204379,58.000103,0.290087,155.33959000000004
50,backpropBackward,1800,5000,input00,bpnn_adjust_weights_cuda,1.0212,(1 32768 1) (16 16 1),262144.0,0.9681190000000001,1.0,0.9964,0.311195,1.0,262145,146.09,14811161,8.07142,62.211000000000006,2621446,4.999992,0.5841,2293857,54.074,2227252,52.507,6160737,146.27,2621459,62.24,0,0.0,0.0,0,0.0,0.0,146.21,6160399,62.216,62.206,0.5563,174.18,7340042,75497584,16777248,0.0,0,0,184549488.0,0,58720336,15204379,58.000103,0.290365,157.72474999999997
51,backpropBackward,1800,5500,input00,bpnn_adjust_weights_cuda,1.0233,(1 32768 1) (16 16 1),262144.0,0.9680219999999999,1.0,0.9965,0.311479,1.0,262145,146.05,14811161,8.07142,62.162,2621446,4.999992,0.5841,2293851,54.21,2226971,52.629,6160707,146.14,2621471,62.181999999999995,0,0.0,0.0,0,0.0,0.0,146.17,6160399,62.199,62.175,0.5563,174.09,7340042,75497584,16777248,0.0,0,0,184549488.0,0,58720336,15204379,58.000103,0.29030900000000004,163.62929000000003
52,backpropBackward,1900,4000,input00,bpnn_adjust_weights_cuda,0.9800700000000001,(1 32768 1) (16 16 1),262144.0,0.968231,1.0,0.9965,0.30943000000000004,1.0,262145,146.39,14811161,8.07142,62.287,2621446,4.999992,0.5841,2293856,54.32,2228254,52.81100000000001,6160690,146.43,2621459,62.303999999999995,0,0.0,0.0,0,0.0,0.0,146.49,6160399,62.336999999999996,62.292,0.5563,174.42,7340042,75497584,16777248,0.0,0,0,184549488.0,0,58720336,15204379,58.000103,0.290573,152.01646000000005
