,appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,power/W
71,conjugateGradient,1680,7300,input00,gpuConjugateGradient,67.672118,,,73.63221
64,conjugateGradient,1780,5800,input00,gpuConjugateGradient,67.925269,,,70.98666000000001
65,conjugateGradient,1780,6300,input00,gpuConjugateGradient,67.69829,,,71.5212
66,conjugateGradient,1780,6800,input00,gpuConjugateGradient,67.59605,,,72.75907999999998
67,conjugateGradient,1780,7300,input00,gpuConjugateGradient,67.711892,,,74.20613999999999
60,conjugateGradient,1880,5800,input00,gpuConjugateGradient,67.73164,,,71.74652999999998
61,conjugateGradient,1880,6300,input00,gpuConjugateGradient,67.583446,,,72.43419
62,conjugateGradient,1880,6800,input00,gpuConjugateGradient,67.610568,,,73.67571
63,conjugateGradient,1880,7300,input00,gpuConjugateGradient,67.479319,,,74.86552999999999
72,conjugateGradient,1980,5800,input00,gpuConjugateGradient,67.457374,,,72.38821000000002
73,conjugateGradient,1980,6300,input00,gpuConjugateGradient,67.38978,,,73.09832999999999
74,conjugateGradient,1980,6800,input00,gpuConjugateGradient,67.43646,,,75.67054
75,conjugateGradient,1980,7300,input00,gpuConjugateGradient,67.355524,,,76.44058999999999
76,conjugateGradient,2080,5800,input00,gpuConjugateGradient,67.383012,,,73.67451
77,conjugateGradient,2080,6300,input00,gpuConjugateGradient,67.213047,,,75.06088999999999
78,conjugateGradient,2080,6800,input00,gpuConjugateGradient,66.88528,,,77.70433999999999
79,conjugateGradient,2080,7300,input00,gpuConjugateGradient,66.903973,,,76.18766000000001
88,convolutionSeparable,1680,5800,input00,convolutionRowsKernel,7.065955,,,151.82277
89,convolutionSeparable,1680,6300,input00,convolutionRowsKernel,7.017729,,,154.78900000000002
90,convolutionSeparable,1680,6800,input00,convolutionRowsKernel,6.908115,,,157.95352
91,convolutionSeparable,1680,7300,input00,convolutionRowsKernel,6.864378,,,160.81532
84,convolutionSeparable,1780,5800,input00,convolutionRowsKernel,6.809714,,,157.08266
85,convolutionSeparable,1780,6300,input00,convolutionRowsKernel,6.726443,,,159.09681999999998
86,convolutionSeparable,1780,6800,input00,convolutionRowsKernel,6.648469,,,163.35377000000005
87,convolutionSeparable,1780,7300,input00,convolutionRowsKernel,6.524494,,,166.6205
80,convolutionSeparable,1880,5800,input00,convolutionRowsKernel,6.563022,,,160.71365
81,convolutionSeparable,1880,6300,input00,convolutionRowsKernel,6.441403,,,164.07424
82,convolutionSeparable,1880,6800,input00,convolutionRowsKernel,6.356404,,,167.74144999999996
83,convolutionSeparable,1880,7300,input00,convolutionRowsKernel,6.281376,,,171.24290000000002
92,convolutionSeparable,1980,5800,input00,convolutionRowsKernel,6.336006,,,166.98108999999997
93,convolutionSeparable,1980,6300,input00,convolutionRowsKernel,6.199321,,,172.66306999999998
94,convolutionSeparable,1980,6800,input00,convolutionRowsKernel,6.091081,,,178.45850000000007
95,convolutionSeparable,1980,7300,input00,convolutionRowsKernel,5.991598,,,182.51065999999997
96,convolutionSeparable,2080,5800,input00,convolutionRowsKernel,6.214686,,,174.69938000000005
97,convolutionSeparable,2080,6300,input00,convolutionRowsKernel,5.97133,,,179.18999000000008
98,convolutionSeparable,2080,6800,input00,convolutionRowsKernel,5.854223,,,185.19070000000008
99,convolutionSeparable,2080,7300,input00,convolutionRowsKernel,5.779899,,,186.90776
108,convolutionTexture,1680,5800,input00,convolutionRowsKernel,8.081309,,,153.11293000000006
109,convolutionTexture,1680,6300,input00,convolutionRowsKernel,7.918941,,,155.46763
110,convolutionTexture,1680,6800,input00,convolutionRowsKernel,7.79236,,,157.10100000000003
111,convolutionTexture,1680,7300,input00,convolutionRowsKernel,7.602699,,,160.68804999999998
104,convolutionTexture,1780,5800,input00,convolutionRowsKernel,7.753452,,,155.71421
105,convolutionTexture,1780,6300,input00,convolutionRowsKernel,7.687861,,,157.69874000000004
106,convolutionTexture,1780,6800,input00,convolutionRowsKernel,7.560919,,,168.47580000000005
107,convolutionTexture,1780,7300,input00,convolutionRowsKernel,7.36366,,,172.94461000000004
100,convolutionTexture,1880,5800,input00,convolutionRowsKernel,7.617593,,,165.81988
101,convolutionTexture,1880,6300,input00,convolutionRowsKernel,7.463578,,,169.72145999999998
102,convolutionTexture,1880,6800,input00,convolutionRowsKernel,7.339509,,,173.66829000000004
103,convolutionTexture,1880,7300,input00,convolutionRowsKernel,7.123355,,,177.88228000000004
112,convolutionTexture,1980,5800,input00,convolutionRowsKernel,7.432466,,,170.8611
113,convolutionTexture,1980,6300,input00,convolutionRowsKernel,7.26637,,,169.88635
114,convolutionTexture,1980,6800,input00,convolutionRowsKernel,7.138192,,,175.79335000000003
115,convolutionTexture,1980,7300,input00,convolutionRowsKernel,6.910314,,,179.8885
116,convolutionTexture,2080,5800,input00,convolutionRowsKernel,7.27335,,,172.79889
117,convolutionTexture,2080,6300,input00,convolutionRowsKernel,7.055205,,,175.43593
118,convolutionTexture,2080,6800,input00,convolutionRowsKernel,6.885262,,,179.78824999999998
119,convolutionTexture,2080,7300,input00,convolutionRowsKernel,6.741506,,,184.68382
128,fastWalshTransform,1680,5800,input00,fwtBatch2Kernel,58.555585,,,118.66282999999996
129,fastWalshTransform,1680,6300,input00,fwtBatch2Kernel,53.938268,,,122.88757
130,fastWalshTransform,1680,6800,input00,fwtBatch2Kernel,50.018172,,,128.61189000000002
131,fastWalshTransform,1680,7300,input00,fwtBatch2Kernel,46.35117,,,133.445
124,fastWalshTransform,1780,5800,input00,fwtBatch2Kernel,58.864388,,,120.49462999999996
125,fastWalshTransform,1780,6300,input00,fwtBatch2Kernel,54.191964,,,124.01812999999996
126,fastWalshTransform,1780,6800,input00,fwtBatch2Kernel,50.275614,,,130.0513
127,fastWalshTransform,1780,7300,input00,fwtBatch2Kernel,46.481436,,,134.97977000000003
120,fastWalshTransform,1880,5800,input00,fwtBatch2Kernel,59.131712,,,120.85974999999996
121,fastWalshTransform,1880,6300,input00,fwtBatch2Kernel,54.469062,,,125.41125000000002
122,fastWalshTransform,1880,6800,input00,fwtBatch2Kernel,50.555684,,,131.69778000000002
123,fastWalshTransform,1880,7300,input00,fwtBatch2Kernel,46.732392,,,135.85498000000004
132,fastWalshTransform,1980,5800,input00,fwtBatch2Kernel,59.387795,,,122.64913
133,fastWalshTransform,1980,6300,input00,fwtBatch2Kernel,54.733543,,,128.45829
134,fastWalshTransform,1980,6800,input00,fwtBatch2Kernel,50.821765,,,134.59112000000002
135,fastWalshTransform,1980,7300,input00,fwtBatch2Kernel,46.971146,,,142.28138
136,fastWalshTransform,2080,5800,input00,fwtBatch2Kernel,59.671885,,,126.47022
137,fastWalshTransform,2080,6300,input00,fwtBatch2Kernel,54.894207,,,131.22460000000004
138,fastWalshTransform,2080,6800,input00,fwtBatch2Kernel,50.965595,,,136.40648
139,fastWalshTransform,2080,7300,input00,fwtBatch2Kernel,47.168838,,,142.50983
148,histogram,1680,5800,input00,histogram256Kernel,14.430704,,,131.99609999999996
149,histogram,1680,6300,input00,histogram256Kernel,14.15012,,,134.67617
150,histogram,1680,6800,input00,histogram256Kernel,13.485099,,,140.37847999999997
151,histogram,1680,7300,input00,histogram256Kernel,12.644075,,,144.07525000000004
144,histogram,1780,5800,input00,histogram256Kernel,14.3646,,,134.38640999999996
145,histogram,1780,6300,input00,histogram256Kernel,14.069987,,,137.02101
146,histogram,1780,6800,input00,histogram256Kernel,13.393025,,,142.24912999999998
147,histogram,1780,7300,input00,histogram256Kernel,12.590917,,,146.44143
140,histogram,1880,5800,input00,histogram256Kernel,14.2319,,,136.56063
141,histogram,1880,6300,input00,histogram256Kernel,13.984145,,,139.72715
142,histogram,1880,6800,input00,histogram256Kernel,13.323154,,,144.29118
143,histogram,1880,7300,input00,histogram256Kernel,12.48058,,,148.61392
152,histogram,1980,5800,input00,histogram256Kernel,14.095338,,,139.27785000000003
153,histogram,1980,6300,input00,histogram256Kernel,13.857314,,,143.66078
154,histogram,1980,6800,input00,histogram256Kernel,13.203993,,,149.49852999999996
155,histogram,1980,7300,input00,histogram256Kernel,12.382071,,,156.18638999999996
156,histogram,2080,5800,input00,histogram256Kernel,13.988082,,,144.73607999999996
157,histogram,2080,6300,input00,histogram256Kernel,13.716747,,,147.39269000000002
158,histogram,2080,6800,input00,histogram256Kernel,13.058341,,,152.86481
159,histogram,2080,7300,input00,histogram256Kernel,12.329845,,,157.20044
168,hotspot,1680,5800,input00,calculate_temp,0.425787,,,83.45034
169,hotspot,1680,6300,input00,calculate_temp,0.425768,,,84.97935000000001
170,hotspot,1680,6800,input00,calculate_temp,0.425546,,,85.96066999999998
171,hotspot,1680,7300,input00,calculate_temp,0.426244,,,86.88453000000001
164,hotspot,1780,5800,input00,calculate_temp,0.406743,,,85.02799
165,hotspot,1780,6300,input00,calculate_temp,0.405861,,,87.01484
166,hotspot,1780,6800,input00,calculate_temp,0.405656,,,88.31037999999998
167,hotspot,1780,7300,input00,calculate_temp,0.406528,,,89.1191
160,hotspot,1880,5800,input00,calculate_temp,0.386504,,,87.08406999999997
161,hotspot,1880,6300,input00,calculate_temp,0.386933,,,88.52381000000001
162,hotspot,1880,6800,input00,calculate_temp,0.386781,,,89.91808
163,hotspot,1880,7300,input00,calculate_temp,0.386661,,,91.13171000000004
172,hotspot,1980,5800,input00,calculate_temp,0.36871,,,89.09654000000002
173,hotspot,1980,6300,input00,calculate_temp,0.369088,,,90.35833
174,hotspot,1980,6800,input00,calculate_temp,0.368789,,,92.12957
175,hotspot,1980,7300,input00,calculate_temp,0.36877,,,93.42383
176,hotspot,2080,5800,input00,calculate_temp,0.354997,,,91.02071
177,hotspot,2080,6300,input00,calculate_temp,0.354692,,,92.52687
178,hotspot,2080,6800,input00,calculate_temp,0.354555,,,94.20527
179,hotspot,2080,7300,input00,calculate_temp,0.352876,,,93.96690999999996
188,matrixMulG,1680,5800,input00,matrixMulCUDA,21.869556,,,179.27034
189,matrixMulG,1680,6300,input00,matrixMulCUDA,21.655238,,,182.46358
190,matrixMulG,1680,6800,input00,matrixMulCUDA,21.473214,,,186.333
191,matrixMulG,1680,7300,input00,matrixMulCUDA,21.130355,,,189.43958999999995
184,matrixMulG,1780,5800,input00,matrixMulCUDA,20.946408,,,178.96737000000002
185,matrixMulG,1780,6300,input00,matrixMulCUDA,20.751355,,,190.77285999999995
186,matrixMulG,1780,6800,input00,matrixMulCUDA,20.571489,,,192.2358
187,matrixMulG,1780,7300,input00,matrixMulCUDA,20.289409,,,194.86278
