mode,gpus,gpus_per_node,util,algo,dvfs_on,theta,aver_run_E,min_run_E,max_run_E,aver_idle_E,min_idle_E,max_idle_E,aver_turnon_E,min_turnon_E,max_turnon_E,aver_total_E,min_total_E,max_total_E
offline,2048,2,0.4,edf+spt,0,1.0,33759788.64,31687380.0,35980551.0,1102332.7,919870.0,1306875.0,29852.0,27600.0,31400.0,34891973.34,32685685.0,37062426.0
offline,2048,2,0.4,edf+wf,0,1.0,33759788.64,31687380.0,35980551.0,1565769.7,1029435.0,2166990.0,25028.0,22200.0,27400.0,35350586.34,32740615.0,37393286.0
offline,2048,2,0.4,lpt+ff,0,1.0,33759788.64,31687380.0,35980551.0,416804.3,245225.0,615400.0,41602.0,38000.0,45400.0,34218194.94,32086185.0,36307556.0
offline,2048,4,0.4,edf+bf,0,1.0,33759788.64,31687380.0,35980551.0,2749262.1,2227255.0,3327325.0,12524.0,11400.0,13600.0,36521574.74,33967095.0,38289056.0
offline,2048,4,0.4,edf+spt,0,1.0,33759788.64,31687380.0,35980551.0,2130196.9,1855720.0,2445025.0,15588.0,14000.0,16400.0,35905573.54,33593315.0,38029236.0
offline,2048,4,0.4,edf+wf,0,1.0,33759788.64,31687380.0,35980551.0,3521551.7,2304945.0,4274820.0,13424.0,11600.0,14800.0,37294764.34,34705215.0,39433616.0
offline,2048,4,0.4,lpt+ff,0,1.0,33759788.64,31687380.0,35980551.0,1095916.9,774605.0,1585420.0,20844.0,19000.0,22800.0,34876549.54,32659815.0,36853336.0
offline,2048,8,0.4,edf+bf,0,1.0,33759788.64,31687380.0,35980551.0,4087930.5,3056515.0,5229370.0,6310.0,5800.0,6800.0,37854029.14,34749895.0,39450400.0
offline,2048,8,0.4,edf+spt,0,1.0,33759788.64,31687380.0,35980551.0,2996788.9,2446555.0,3522485.0,8088.0,7200.0,8800.0,36764665.54,34384975.0,38902976.0
offline,2048,8,0.4,edf+wf,0,1.0,33759788.64,31687380.0,35980551.0,5343441.7,3365915.0,6704715.0,7246.0,6200.0,8200.0,39110476.34,36202495.0,40718536.0
offline,2048,8,0.4,lpt+ff,0,1.0,33759788.64,31687380.0,35980551.0,1990620.1,1368415.0,2548130.0,10472.0,9600.0,11400.0,35760880.74,33707295.0,38043816.0
offline,2048,16,0.6,edf+bf,0,1.0,50507826.45,47971953.0,52536831.0,7918277.85,6483460.0,9433810.0,4726.0,4400.0,5200.0,58430830.3,55466898.0,60346129.0
